spot	Activated neural stem cell	Astrocyte	Basket cell	Bergmann glial cell	CCK basket cell	Cajal-Retzius cell	Chandelier cell	Dorsal otocyst	Early intermediate precursor cell	Early neuroblast	Endothelial cell	Ependymal cell	Immature olfactory sensory neuron	Interneuron-selective cell	Late activated neural stem cell	Late neuroblast	Long-projecting GABAergic cell	Macrophage	Martinotti cell	Mature olfactory sensory neuron	Microglial cell	Mural cell	Neural stem cell	Neuroblast	Neuron	O cell	Olfactory ensheathing glia	Olfactory sensory neuron	Oligodendrocyte	Oligodendrocyte precursor cell	Precursor cell	Progenitor cell	Quiescent neural stem cell	Smooth muscle cell	Type I spiral ganglion neuron	Type IA spiral ganglion neuron	Type IB spiral ganglion neuron	Type IC spiral ganglion neuron	Type II spiral ganglion neuron	Ventral otocyst
58x88	0.008754522	0.019010453	0.005508142	0.015725113	0.0017635688	0.008426225	0.0026663602	0.0059946417	0.08839239	0.01168257	0.009886599	0.013661461	0.009305416	0.028394507	0.012078578	0.00993799	0.010658837	0.013604411	0.04442881	0.0076583726	0.006814614	0.008042726	0.026749799	0.017530266	0.026778469	0.0064257816	0.015204806	0.029285066	0.010404004	0.06867995	0.040997826	0.2361162	0.033262085	0.01850915	0.01013428	0.008469711	0.06956731	0.010113382	0.013817934	0.015557672
34x80	0.02823952	0.006728044	0.009291162	0.0038179017	0.0131131355	0.013693569	0.011871205	0.05860705	0.013461844	0.02590575	0.017311	0.007144365	0.07531141	0.08553479	0.010289073	0.0062162904	0.022559252	0.019475834	0.005957882	0.0054337364	0.023866605	0.011972901	0.009079343	0.028427776	0.008299674	0.11745219	0.02572932	0.0715779	0.09830648	0.030085614	0.005817007	0.011039085	0.005303874	0.022897365	0.0055016833	0.006139424	0.03511633	0.015287227	0.019059507	0.009077971
21x47	0.16662382	0.068703674	0.016816916	0.0811579	0.009426414	0.0558603	0.0017223022	0.004688556	0.005180306	0.012645806	0.01485503	0.019356882	0.0032286008	0.012870562	0.020107621	0.003868209	0.004226967	0.028275466	0.004279795	0.007348654	0.028142378	0.016095461	0.09737472	0.02547377	0.005533925	0.01480997	0.03839721	0.007993333	0.012129859	0.008806753	0.007554293	0.0058332104	0.11813916	0.025467478	0.0017101986	0.017892573	0.010586644	0.0064949105	0.005042206	0.005278145
43x69	0.20204669	0.0033518283	0.0060318215	0.0061371448	0.008740397	0.004538657	0.0036878868	0.003164167	0.004235422	0.008298158	0.006136849	0.06689486	0.0051432	0.0030177678	0.003963062	0.007174847	0.019121133	0.03413505	0.0055399295	0.013265933	0.12522757	0.014680255	0.06950143	0.0061198813	0.005127785	0.09882679	0.013128973	0.0074657463	0.084718354	0.021172969	0.0058395383	0.009267102	0.0069008814	0.0033068773	0.0016429115	0.0043630535	0.0049891947	0.00088633114	0.008422292	0.093787275
50x94	0.009480983	0.010225182	0.04104981	0.00449226	0.010967477	0.016550971	0.012853121	0.032102667	0.0066428985	0.008227027	0.0436501	0.009969742	0.03029175	0.0062060063	0.005327964	0.009874893	0.022047771	0.031389758	0.0441621	0.002641157	0.038028274	0.18152	0.01740603	0.0076915636	0.022109892	0.004931955	0.004712913	0.019804107	0.004161094	0.004259777	0.029169267	0.14078264	0.012198088	0.050315928	0.0064473026	0.0067147333	0.01563155	0.022242637	0.03899817	0.014720408
42x104	0.0034827227	0.0042332644	0.0052238414	0.0035695487	0.024881626	0.021616563	0.0041870563	0.008756405	0.010089296	0.034655556	0.005040333	0.0053651533	0.01115299	0.023692397	0.0038590448	0.049911045	0.005214152	0.010760255	0.12026807	0.014392311	0.00800119	0.0038579905	0.016317295	0.05348549	0.074071385	0.005690788	0.0052737356	0.035708606	0.006663409	0.004618067	0.2635053	0.013665209	0.0060715512	0.0059929457	0.0088838395	0.02162728	0.018373307	0.02111588	0.016419886	0.040305205
56x96	0.002196684	0.0049191937	0.015360918	0.0032666535	0.008371761	0.049114116	0.04856164	0.0057101115	0.008270989	0.0028197106	0.0017560278	0.0043155663	0.024063868	0.027583113	0.004464241	0.007435979	0.008062135	0.0037136734	0.17617992	0.0017068288	0.010897704	0.0031940872	0.004231802	0.20582575	0.17735384	0.0018907168	0.07143341	0.003431751	0.008428921	0.014766722	0.006351886	0.010526157	0.005773258	0.0044586672	0.0049756374	0.0053272955	0.0047471663	0.021623375	0.021542292	0.005346392
66x24	0.009377646	0.050211124	0.0109452605	0.022095684	0.04806986	0.0064454065	0.012737966	0.0066215056	0.08356465	0.038250323	0.006155617	0.015648162	0.07385354	0.009677807	0.015923519	0.12113301	0.018847544	0.01577105	0.025820952	0.0042917067	0.0061951387	0.0055582817	0.07502655	0.0034445997	0.025610784	0.0062788157	0.0102571715	0.01865928	0.00525635	0.011911291	0.06623365	0.007534202	0.0186291	0.006077184	0.012327083	0.008732274	0.008292066	0.013904658	0.045659464	0.048969757
52x44	0.017842649	0.021471642	0.011280238	0.011176089	0.020098753	0.0042924983	0.0044239494	0.11090027	0.0064135212	0.0055020135	0.0034123203	0.0125379255	0.043300286	0.0040787794	0.0068998453	0.010947824	0.0036601822	0.009533999	0.034178827	0.004265608	0.015860755	0.008290416	0.008248171	0.09465346	0.0033850041	0.13738869	0.010798464	0.0073344577	0.14688763	0.08172597	0.010050585	0.015644385	0.05154166	0.009462354	0.0114276195	0.016663607	0.0061743087	0.0037703614	0.004468314	0.010006612
54x84	0.013856624	0.010021018	0.007951049	0.0100933	0.0071219	0.019072881	0.006094774	0.041281722	0.19015747	0.018803023	0.0542974	0.028830832	0.017018352	0.01450927	0.007160209	0.015223264	0.014647261	0.08787347	0.06749173	0.0136245955	0.08600954	0.012433342	0.007536368	0.041859187	0.03326395	0.007145649	0.012810923	0.009165588	0.008504961	0.014732196	0.007683615	0.0065670568	0.0053341305	0.013374708	0.0069590267	0.019905278	0.008197781	0.015847491	0.029325336	0.008213675
