cell_type,cell_name,marker_gene,species,tissue_class,tissue_type,source
Olfactory ensheathing glia,Olfactory ensheathing glia,Ptn,Mouse,Brain,Brain,Single-cell sequencing
Olfactory ensheathing glia,Olfactory ensheathing glia,Ptpn13,Mouse,Brain,Brain,Single-cell sequencing
Olfactory ensheathing glia,Olfactory ensheathing glia,Ror1,Mouse,Brain,Brain,Single-cell sequencing
Olfactory ensheathing glia,Olfactory ensheathing glia,Rreb1,Mouse,Brain,Brain,Single-cell sequencing
Olfactory ensheathing glia,Olfactory ensheathing glia,Sash1,Mouse,Brain,Brain,Single-cell sequencing
Olfactory ensheathing glia,Olfactory ensheathing glia,Slc27a1,Mouse,Brain,Brain,Single-cell sequencing
Olfactory ensheathing glia,Olfactory ensheathing glia,Smoc1,Mouse,Brain,Brain,Single-cell sequencing
Olfactory ensheathing glia,Olfactory ensheathing glia,Sntb1,Mouse,Brain,Brain,Single-cell sequencing
Olfactory ensheathing glia,Olfactory ensheathing glia,Spata13,Mouse,Brain,Brain,Single-cell sequencing
Olfactory ensheathing glia,Olfactory ensheathing glia,St5,Mouse,Brain,Brain,Single-cell sequencing
Olfactory ensheathing glia,Olfactory ensheathing glia,St6gal1,Mouse,Brain,Brain,Single-cell sequencing
Olfactory ensheathing glia,Olfactory ensheathing glia,Stard13,Mouse,Brain,Brain,Single-cell sequencing
Olfactory ensheathing glia,Olfactory ensheathing glia,Tnfrsf19,Mouse,Brain,Brain,Single-cell sequencing
Olfactory ensheathing glia,Olfactory ensheathing glia,Usp54,Mouse,Brain,Brain,Single-cell sequencing
Olfactory ensheathing glia,Olfactory ensheathing glia,Yap1,Mouse,Brain,Brain,Single-cell sequencing
Olfactory ensheathing glia,Olfactory ensheathing glia,Zbtb7c,Mouse,Brain,Brain,Single-cell sequencing
