cell_type,marker_gene,species,organ,tissue_class,tissue_type,cancer,database
Type IC spiral ganglion neuron,Rph3a,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Rph3a,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Rpl7l1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Rpp21,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type IA spiral ganglion neuron,Rpp25,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Interneuron-selective cell,Rprm,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Rps12,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Rps18,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Rps6,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Rps6ka1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Rps6ka2,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Rrbp1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Macrophage,Rreb1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Microglial cell,Rreb1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Olfactory ensheathing glia,Rreb1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Rrm2b,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type IA spiral ganglion neuron,Rsph3b,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Rsph9,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Rsu1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Rtca,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Rtkn,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Neuron,Rtn1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Rtn2,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Rtn4ip1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Rtn4rl1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Rtn4rl2,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Rubcn,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Macrophage,Runx1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Microglial cell,Runx1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Runx1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type IB spiral ganglion neuron,Runx1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Runx1t1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type IC spiral ganglion neuron,Runx1t1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Rusc2,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Rwdd2b,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Rxfp3,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type IA spiral ganglion neuron,Rxrg,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Rybp,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Ryr2,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type IB spiral ganglion neuron,Ryr3,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,S100a1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Long-projecting GABAergic cell,S100a10,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,S100a13,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Ependymal cell,S100b,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Neuron,S100b,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Quiescent neural stem cell,S100b,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,S100b,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Astrocyte,S1pr1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Mural cell,S1pr3,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Oligodendrocyte,S1pr5,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type IC spiral ganglion neuron,Samd11,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Samd8,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Olfactory ensheathing glia,Sash1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type IA spiral ganglion neuron,Sash1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type IC spiral ganglion neuron,Satb1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Long-projecting GABAergic cell,Sc5d,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Scarb2,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Scarletltr,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Neuron,Scg2,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Scg2,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Scg3,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Scly,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Scmh1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Scn1a,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Scn1b,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type IC spiral ganglion neuron,Scn2b,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Scn2b,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Scn4b,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Scn8a,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Scn9a,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Scrib,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Scrt1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
CCK basket cell,Scyl2,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Astrocyte,Sdc4,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Sdc4,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type IB spiral ganglion neuron,Sdc4,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Sdsl,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Sec31a,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Sec61a1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Seh1l,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Sel1l3,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Microglial cell,Selplg,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type IC spiral ganglion neuron,Sema3a,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Endothelial cell,Sema3c,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Oligodendrocyte precursor cell,Sema3d,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Sema3d,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type IB spiral ganglion neuron,Sema3d,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Sema3e,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type IB spiral ganglion neuron,Sema3e,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type IC spiral ganglion neuron,Sema3f,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type IC spiral ganglion neuron,Sema4d,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type IA spiral ganglion neuron,Sema4g,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Oligodendrocyte precursor cell,Sema5a,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Interneuron-selective cell,Sema5b,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Oligodendrocyte precursor cell,Sema5b,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Sema6b,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Sema6d,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Sema7a,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Sephs2,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Microglial cell,Serinc3,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Serinc5,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Serp2,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type IC spiral ganglion neuron,Serp2,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Oligodendrocyte precursor cell,Serpine2,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Serpinf1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Mural cell,Serping1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Sertad1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Sertm1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type IA spiral ganglion neuron,Sertm1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type IB spiral ganglion neuron,Sestd1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Sestd1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Setx,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Neuron,Sez6,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Sez6l2,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Sf3a2,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Sfmbt1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Long-projecting GABAergic cell,Sfrp1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Sfxn3,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Bergmann glial cell,Sfxn5,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Sfxn5,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Martinotti cell,Sgcd,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Sgk3,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Endothelial cell,Sgms1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Sgpl1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Sgsm1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Sh2d7,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type IC spiral ganglion neuron,Sh2d7,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Sh3bgr,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type IA spiral ganglion neuron,Sh3bgr,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type IA spiral ganglion neuron,Sh3bgrl,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Sh3bgrl,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Sh3bgrl2,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Sh3bp1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
CCK basket cell,Sh3bp4,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Oligodendrocyte precursor cell,Sh3bp4,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Sh3bp5l,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Oligodendrocyte precursor cell,Sh3d19,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Sh3kbp1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Bergmann glial cell,Sh3pxd2b,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Shb,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Shc3,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Shd,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Shisa2,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Shisa4,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Bergmann glial cell,Shroom3,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Shroom3,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Siah3,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Microglial cell,Siglech,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Sik1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Sipa1l1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Macrophage,Sirpa,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Microglial cell,Sirpa,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Martinotti cell,Sirt4,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Sirt5,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Early neuroblast,Six1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Six4,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Skap1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Microglial cell,Skap2,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Slc11a2,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Oligodendrocyte,Slc12a2,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Interneuron-selective cell,Slc12a4,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type IA spiral ganglion neuron,Slc15a5,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Endothelial cell,Slc16a1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Slc16a1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Smooth muscle cell,Slc16a12,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type IC spiral ganglion neuron,Slc17a6,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Slc17a7,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Mural cell,Slc19a1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Slc19a2,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Oligodendrocyte precursor cell,Slc1a1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Bergmann glial cell,Slc1a3,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Neural stem cell,Slc1a3,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Slc20a1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Slc20a2,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Cajal-Retzius cell,Slc22a15,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Slc22a15,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Slc22a23,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Endothelial cell,Slc22a8,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type IA spiral ganglion neuron,Slc25a13,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Slc25a14,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Slc25a25,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
CCK basket cell,Slc25a29,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Slc25a36,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Slc25a46,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Slc25a51,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Astrocyte,Slc27a1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Olfactory ensheathing glia,Slc27a1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Slc27a4,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Slc29a2,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type IB spiral ganglion neuron,Slc29a3,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Slc29a4,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Endothelial cell,Slc2a1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Cajal-Retzius cell,Slc2a13,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Martinotti cell,Slc30a3,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Slc35a2,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Slc35a3,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Slc35b4,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Slc35d1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Oligodendrocyte precursor cell,Slc35f1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Slc35g2,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Slc36a1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Slc36a2,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Mural cell,Slc38a11,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Smooth muscle cell,Slc38a11,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Astrocyte,Slc39a12,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Endothelial cell,Slc40a1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Slc46a1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Slc48a1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Slc4a10,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Slc4a2,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Astrocyte,Slc4a4,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Bergmann glial cell,Slc4a4,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Slc4a8,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Slc52a3,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Long-projecting GABAergic cell,Slc5a5,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Long-projecting GABAergic cell,Slc5a7,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Astrocyte,Slc6a1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Astrocyte,Slc6a11,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Slc6a17,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Mural cell,Slc6a20a,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Smooth muscle cell,Slc6a20a,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Slc6a4,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Endothelial cell,Slc7a1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Slc7a1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Astrocyte,Slc7a10,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Astrocyte,Slc7a11,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Slc7a11,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type IA spiral ganglion neuron,Slc7a2,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Long-projecting GABAergic cell,Slc7a3,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Endothelial cell,Slc7a5,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type IA spiral ganglion neuron,Slc7a8,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Slc7a8,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Slc9a3r1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Endothelial cell,Slc9a3r2,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Slc9a3r2,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Macrophage,Slc9a9,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Oligodendrocyte precursor cell,Slc9a9,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type IC spiral ganglion neuron,Slc9a9,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Slc9b2,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Endothelial cell,Slco1a4,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Endothelial cell,Slco1c1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Endothelial cell,Slco2b1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Microglial cell,Slco2b1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type IC spiral ganglion neuron,Slco4a1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Slco5a1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Basket cell,Slit2,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type IC spiral ganglion neuron,Slit2,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Basket cell,Slit3,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Slitrk1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type IC spiral ganglion neuron,Slitrk2,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Cajal-Retzius cell,Smad1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Smad1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Smad6,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Smad7,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Smarca5,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Smarcal1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Oligodendrocyte,Smco3,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Smim13,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Smim15,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Smim22,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type IA spiral ganglion neuron,Smim3,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Olfactory ensheathing glia,Smoc1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Smpx,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Neuron,Snap25,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Snca,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Sncb,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type IC spiral ganglion neuron,Sncg,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Bergmann glial cell,Sned1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Snhg17,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type IA spiral ganglion neuron,Snhg4,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Snn,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Snph,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Snrpd3,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Neuron,Snrpn,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type IA spiral ganglion neuron,Snta1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
CCK basket cell,Sntb1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Olfactory ensheathing glia,Sntb1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Smooth muscle cell,Sntb1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type IA spiral ganglion neuron,Sntb2,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Sntg2,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Macrophage,Snx2,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Oligodendrocyte precursor cell,Snx22,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Oligodendrocyte precursor cell,Snx25,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Snx27,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Martinotti cell,Snx8,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Snx8,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Socs1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Sorbs1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type IC spiral ganglion neuron,Sorbs2,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Sorcs3,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Sorl1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
