cell_type,marker_gene,species,organ,tissue_class,tissue_type,cancer,database
Type I spiral ganglion neuron,Arhgap31,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Arhgap36,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Arhgap39,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Smooth muscle cell,Arhgap42,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Long-projecting GABAergic cell,Arhgdig,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type IA spiral ganglion neuron,Arhgdig,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Long-projecting GABAergic cell,Arhgef15,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Arhgef17,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Bergmann glial cell,Arhgef26,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Arhgef28,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type IA spiral ganglion neuron,Arhgef3,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Bergmann glial cell,Arhgef4,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Arhgef6,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Arhgef9,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Long-projecting GABAergic cell,Arl4a,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Arl4c,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Arl6ip4,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Arl8a,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Armc1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Ependymal cell,Armc3,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type IC spiral ganglion neuron,Arnt2,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Arnt2,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Arpc5,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type IC spiral ganglion neuron,Arpp21,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Microglial cell,Arsb,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Asah2,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
